WKT_GEOM,ID_FERMATA,FERMATA,COORD_X,COORD_Y
POINT (1390954.17742443 4992160.90169133),1,MARCHE,"139,095,417,742,443","499,216,090,169,133"
POINT (1391424.32047932 4992182.24285621),2,MASSAUA,"139,142,432,047,932","499,218,224,285,621"
POINT (1392109.75124683 4992209.49822005),3,POZZO STRADA,"139,210,975,124,683","499,220,949,822,005"
POINT (1392693.96741906 4992232.62209167),4,MONTE GRAPPA,"139,269,396,741,906","499,223,262,209,167"
POINT (1393697.51257021 4992272.82737157),5,RACCONIGI,"139,369,751,257,021","499,227,282,737,157"
POINT (1393320.93203742 4992256.35675004),6,RIVOLI,"139,332,093,203,742","499,225,635,675,004"
POINT (1394190.04176119 4992291.48273991),7,BERNINI,"139,419,004,176,119","499,229,148,273,991"
POINT (1394868.11560447 4992319.16887933),8,PRINCIPI D'ACAJA,"139,486,811,560,447","499,231,916,887,933"
POINT (1395203.3427522 4992054.05377907),9,XVIII DICEMBRE,"13,952,033,427,522","499,205,405,377,907"
POINT (1395004.36091098 4991322.24271103),10,VINZAGLIO,"139,500,436,091,098","499,132,224,271,103"
POINT (1395662.49226517 4990974.8550333),11,RE UMBERTO,"139,566,249,226,517","49,909,748,550,333"
POINT (1396021.02490261 4990787.16899832),12,PORTA NUOVA,"139,602,102,490,261","499,078,716,899,832"
POINT (1395856.41280193 4990165.66077056),13,MARCONI,"139,585,641,280,193","499,016,566,077,056"
POINT (1395680.994355 4989609.38844818),14,NIZZA,"1,395,680,994,355","498,960,938,844,818"
POINT (1395529.75044061 4989091.35713238),15,DANTE,"139,552,975,044,061","498,909,135,713,238"
POINT (1395227.03225014 4988045.72668098),16,SPEZIA,"139,522,703,225,014","498,804,572,668,098"
POINT (1394998.08675627 4987267.49139429),17,LINGOTTO,"139,499,808,675,627","498,726,749,139,429"
POINT (1395368.08079128 4988528.19668599),18,CARDUCCI,"139,536,808,079,128","498,852,819,668,599"
POINT (1394927.36700699 4991646.09335874),19,PORTA SUSA,"139,492,736,700,699","499,164,609,335,874"
