"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"226015E","0","0","0","0","0","0","1","20251116","20251228"
"229377U","0","0","1","0","0","0","0","20251112","20251231"
"229378E","0","0","0","1","0","0","0","20251113","20251218"
"229379E","0","0","0","1","0","0","0","20251113","20251218"
"229380E","0","0","0","0","1","0","0","20251114","20251219"
"229382E","1","1","1","1","1","0","0","20251111","20251231"
"229384E","1","1","1","1","1","0","0","20251111","20251231"
"229387E","1","1","1","1","1","0","0","20251111","20251231"
"229388E","1","1","1","1","1","0","0","20251111","20251231"
"229389E","1","1","1","1","1","0","0","20251111","20251219"
"229390E","1","1","1","0","0","0","0","20251222","20251231"
"229391E","1","1","1","0","0","0","0","20251222","20251231"
"229392E","1","1","1","0","0","0","0","20251222","20251231"
"229393E","0","0","0","0","0","0","1","20251116","20251228"
"229396E","0","0","0","0","0","0","0","20251225","20251225"
"229397E","0","0","0","0","0","1","0","20251115","20251227"
"229398E","0","0","0","0","0","1","0","20251115","20251227"
"229401E","0","0","0","0","0","1","0","20251227","20251227"
"229409E","1","1","1","1","1","1","0","20251111","20251231"
"229410E","1","1","1","1","1","1","0","20251111","20251231"
"229411E","1","1","1","1","1","1","0","20251111","20251231"
"229413E","1","1","1","1","1","1","0","20251111","20251231"
"229415E","1","1","1","0","0","1","0","20251222","20251231"
"229416E","1","1","1","0","0","1","0","20251222","20251231"
"229420E","1","1","1","1","1","1","0","20251111","20251231"
"229421E","0","0","0","0","0","1","0","20251115","20251227"
"229422E","1","1","1","1","0","0","0","20251111","20251218"
"229427E","1","0","1","0","1","0","0","20251112","20251219"
"229428E","0","1","0","1","0","0","0","20251111","20251218"
"229429E","0","1","0","1","1","0","0","20251111","20251219"
"229430E","0","0","1","0","0","0","0","20251112","20251217"
"229432E","0","0","0","0","0","1","0","20251115","20251220"
"229433E","0","0","0","0","0","1","0","20251115","20251220"
"229434E","0","0","0","0","0","1","0","20251115","20251220"
"229438E","1","1","1","1","1","0","0","20251111","20251219"
"229441E","1","1","1","1","1","0","0","20251111","20251219"
"229442E","1","1","1","1","1","0","0","20251111","20251219"
"229444E","1","1","1","1","1","0","0","20251111","20251219"
"229452E","1","0","0","0","0","0","0","20251117","20251229"
"229454E","0","1","1","1","1","1","0","20251111","20251231"
"229455E","1","1","1","1","1","0","0","20251111","20251231"
"229456E","1","1","1","1","1","0","0","20251111","20251231"
"229457E","1","1","1","1","1","0","0","20251111","20251231"
"229458E","1","1","1","1","1","0","0","20251111","20251231"
"229464E","1","1","1","0","0","0","0","20251222","20251231"
"229466E","0","0","0","0","0","0","1","20251116","20251228"
"229467E","0","0","0","0","0","0","1","20251116","20251228"
"229471E","0","0","0","0","0","0","0","20251225","20251225"
