"service_id","date","exception_type"
"226015E","20251116","1"
"226015E","20251123","1"
"226015E","20251130","1"
"226015E","20251207","1"
"226015E","20251208","1"
"226015E","20251214","1"
"226015E","20251221","1"
"226015E","20251226","1"
"226015E","20251228","1"
"229377U","20251112","1"
"229377U","20251119","1"
"229377U","20251126","1"
"229377U","20251203","1"
"229377U","20251210","1"
"229377U","20251217","1"
"229377U","20251224","1"
"229377U","20251231","1"
"229378E","20251113","1"
"229378E","20251120","1"
"229378E","20251127","1"
"229378E","20251204","1"
"229378E","20251211","1"
"229378E","20251218","1"
"229379E","20251113","1"
"229379E","20251120","1"
"229379E","20251127","1"
"229379E","20251204","1"
"229379E","20251211","1"
"229379E","20251218","1"
"229380E","20251114","1"
"229380E","20251121","1"
"229380E","20251128","1"
"229380E","20251205","1"
"229380E","20251212","1"
"229380E","20251219","1"
"229382E","20251111","1"
"229382E","20251112","1"
"229382E","20251113","1"
"229382E","20251114","1"
"229382E","20251117","1"
"229382E","20251118","1"
"229382E","20251119","1"
"229382E","20251120","1"
"229382E","20251121","1"
"229382E","20251124","1"
"229382E","20251125","1"
"229382E","20251126","1"
"229382E","20251127","1"
"229382E","20251128","1"
"229382E","20251201","1"
"229382E","20251202","1"
"229382E","20251203","1"
"229382E","20251204","1"
"229382E","20251205","1"
"229382E","20251208","2"
"229382E","20251209","1"
"229382E","20251210","1"
"229382E","20251211","1"
"229382E","20251212","1"
"229382E","20251215","1"
"229382E","20251216","1"
"229382E","20251217","1"
"229382E","20251218","1"
"229382E","20251219","1"
"229382E","20251222","1"
"229382E","20251223","1"
"229382E","20251224","1"
"229382E","20251225","2"
"229382E","20251226","2"
"229382E","20251229","1"
"229382E","20251230","1"
"229382E","20251231","1"
"229384E","20251111","1"
"229384E","20251112","1"
"229384E","20251113","1"
"229384E","20251114","1"
"229384E","20251117","1"
"229384E","20251118","1"
"229384E","20251119","1"
"229384E","20251120","1"
"229384E","20251121","1"
"229384E","20251124","1"
"229384E","20251125","1"
"229384E","20251126","1"
"229384E","20251127","1"
"229384E","20251128","1"
"229384E","20251201","1"
"229384E","20251202","1"
"229384E","20251203","1"
"229384E","20251204","1"
"229384E","20251205","1"
"229384E","20251208","2"
"229384E","20251209","1"
"229384E","20251210","1"
"229384E","20251211","1"
"229384E","20251212","1"
"229384E","20251215","1"
"229384E","20251216","1"
"229384E","20251217","1"
"229384E","20251218","1"
"229384E","20251219","1"
"229384E","20251222","1"
"229384E","20251223","1"
"229384E","20251224","1"
"229384E","20251225","2"
"229384E","20251226","2"
"229384E","20251229","1"
"229384E","20251230","1"
"229384E","20251231","1"
"229387E","20251111","1"
"229387E","20251112","1"
"229387E","20251113","1"
"229387E","20251114","1"
"229387E","20251117","1"
"229387E","20251118","1"
"229387E","20251119","1"
"229387E","20251120","1"
"229387E","20251121","1"
"229387E","20251124","1"
"229387E","20251125","1"
"229387E","20251126","1"
"229387E","20251127","1"
"229387E","20251128","1"
"229387E","20251201","1"
"229387E","20251202","1"
"229387E","20251203","1"
"229387E","20251204","1"
"229387E","20251205","1"
"229387E","20251208","2"
"229387E","20251209","1"
"229387E","20251210","1"
"229387E","20251211","1"
"229387E","20251212","1"
"229387E","20251215","1"
"229387E","20251216","1"
"229387E","20251217","1"
"229387E","20251218","1"
"229387E","20251219","1"
"229387E","20251222","1"
"229387E","20251223","1"
"229387E","20251224","1"
"229387E","20251225","2"
"229387E","20251226","2"
"229387E","20251229","1"
"229387E","20251230","1"
"229387E","20251231","1"
"229388E","20251111","1"
"229388E","20251112","1"
"229388E","20251113","1"
"229388E","20251114","1"
"229388E","20251117","1"
"229388E","20251118","1"
"229388E","20251119","1"
"229388E","20251120","1"
"229388E","20251121","1"
"229388E","20251124","1"
"229388E","20251125","1"
"229388E","20251126","1"
"229388E","20251127","1"
"229388E","20251128","1"
"229388E","20251201","1"
"229388E","20251202","1"
"229388E","20251203","1"
"229388E","20251204","1"
"229388E","20251205","1"
"229388E","20251208","2"
"229388E","20251209","1"
"229388E","20251210","1"
"229388E","20251211","1"
"229388E","20251212","1"
"229388E","20251215","1"
"229388E","20251216","1"
"229388E","20251217","1"
"229388E","20251218","1"
"229388E","20251219","1"
"229388E","20251222","1"
"229388E","20251223","1"
"229388E","20251224","1"
"229388E","20251225","2"
"229388E","20251226","2"
"229388E","20251229","1"
"229388E","20251230","1"
"229388E","20251231","1"
"229389E","20251111","1"
"229389E","20251112","1"
"229389E","20251113","1"
"229389E","20251114","1"
"229389E","20251117","1"
"229389E","20251118","1"
"229389E","20251119","1"
"229389E","20251120","1"
"229389E","20251121","1"
"229389E","20251124","1"
"229389E","20251125","1"
"229389E","20251126","1"
"229389E","20251127","1"
"229389E","20251128","1"
"229389E","20251201","1"
"229389E","20251202","1"
"229389E","20251203","1"
"229389E","20251204","1"
"229389E","20251205","1"
"229389E","20251208","2"
"229389E","20251209","1"
"229389E","20251210","1"
"229389E","20251211","1"
"229389E","20251212","1"
"229389E","20251215","1"
"229389E","20251216","1"
"229389E","20251217","1"
"229389E","20251218","1"
"229389E","20251219","1"
"229390E","20251222","1"
"229390E","20251223","1"
"229390E","20251224","1"
"229390E","20251229","1"
"229390E","20251230","1"
"229390E","20251231","1"
"229391E","20251222","1"
"229391E","20251223","1"
"229391E","20251224","1"
"229391E","20251229","1"
"229391E","20251230","1"
"229391E","20251231","1"
"229392E","20251222","1"
"229392E","20251223","1"
"229392E","20251224","1"
"229392E","20251229","1"
"229392E","20251230","1"
"229392E","20251231","1"
"229393E","20251116","1"
"229393E","20251123","1"
"229393E","20251130","1"
"229393E","20251207","1"
"229393E","20251208","1"
"229393E","20251214","1"
"229393E","20251221","1"
"229393E","20251225","1"
"229393E","20251226","1"
"229393E","20251228","1"
"229396E","20251225","1"
"229397E","20251115","1"
"229397E","20251122","1"
"229397E","20251129","1"
"229397E","20251206","1"
